date and time;index;date;month;day;weeknr;weekday(0=M);hour;daytype(WrkSaSu);occupancyperc
2021-01-06 01:00:00+01:00;121;6-1-2021;1;6;1;2;1;1;0
2021-01-06 02:00:00+01:00;122;6-1-2021;1;6;1;2;2;1;0
2021-01-06 03:00:00+01:00;123;6-1-2021;1;6;1;2;3;1;0
2021-01-06 04:00:00+01:00;124;6-1-2021;1;6;1;2;4;1;0
2021-01-06 05:00:00+01:00;125;6-1-2021;1;6;1;2;5;1;0
2021-01-06 06:00:00+01:00;126;6-1-2021;1;6;1;2;6;1;0
2021-01-06 07:00:00+01:00;127;6-1-2021;1;6;1;2;7;1;0
2021-01-06 08:00:00+01:00;128;6-1-2021;1;6;1;2;8;1;60
2021-01-06 09:00:00+01:00;129;6-1-2021;1;6;1;2;9;1;60
2021-01-06 10:00:00+01:00;130;6-1-2021;1;6;1;2;10;1;90
2021-01-06 11:00:00+01:00;131;6-1-2021;1;6;1;2;11;1;90
2021-01-06 12:00:00+01:00;132;6-1-2021;1;6;1;2;12;1;50
2021-01-06 13:00:00+01:00;133;6-1-2021;1;6;1;2;13;1;50
2021-01-06 14:00:00+01:00;134;6-1-2021;1;6;1;2;14;1;80
2021-01-06 15:00:00+01:00;135;6-1-2021;1;6;1;2;15;1;80
2021-01-06 16:00:00+01:00;136;6-1-2021;1;6;1;2;16;1;80
2021-01-06 17:00:00+01:00;137;6-1-2021;1;6;1;2;17;1;50
2021-01-06 18:00:00+01:00;138;6-1-2021;1;6;1;2;18;1;42
2021-01-06 19:00:00+01:00;139;6-1-2021;1;6;1;2;19;1;33
2021-01-06 20:00:00+01:00;140;6-1-2021;1;6;1;2;20;1;25
2021-01-06 21:00:00+01:00;141;6-1-2021;1;6;1;2;21;1;17
2021-01-06 22:00:00+01:00;142;6-1-2021;1;6;1;2;22;1;8
2021-01-06 23:00:00+01:00;143;6-1-2021;1;6;1;2;23;1;0
2021-01-07 00:00:00+01:00;144;7-1-2021;1;7;1;3;0;1;0
2021-01-07 01:00:00+01:00;145;7-1-2021;1;7;1;3;1;1;0
2021-01-07 02:00:00+01:00;146;7-1-2021;1;7;1;3;2;1;0
2021-01-07 03:00:00+01:00;147;7-1-2021;1;7;1;3;3;1;0
2021-01-07 04:00:00+01:00;148;7-1-2021;1;7;1;3;4;1;0
2021-01-07 05:00:00+01:00;149;7-1-2021;1;7;1;3;5;1;0
2021-01-07 06:00:00+01:00;150;7-1-2021;1;7;1;3;6;1;0
2021-01-07 07:00:00+01:00;151;7-1-2021;1;7;1;3;7;1;0
2021-01-07 08:00:00+01:00;152;7-1-2021;1;7;1;3;8;1;60
2021-01-07 09:00:00+01:00;153;7-1-2021;1;7;1;3;9;1;60
2021-01-07 10:00:00+01:00;154;7-1-2021;1;7;1;3;10;1;90
2021-01-07 11:00:00+01:00;155;7-1-2021;1;7;1;3;11;1;90
2021-01-07 12:00:00+01:00;156;7-1-2021;1;7;1;3;12;1;50
2021-01-07 13:00:00+01:00;157;7-1-2021;1;7;1;3;13;1;50
2021-01-07 14:00:00+01:00;158;7-1-2021;1;7;1;3;14;1;80
2021-01-07 15:00:00+01:00;159;7-1-2021;1;7;1;3;15;1;80
2021-01-07 16:00:00+01:00;160;7-1-2021;1;7;1;3;16;1;80
2021-01-07 17:00:00+01:00;161;7-1-2021;1;7;1;3;17;1;50
2021-01-07 18:00:00+01:00;162;7-1-2021;1;7;1;3;18;1;42
2021-01-07 19:00:00+01:00;163;7-1-2021;1;7;1;3;19;1;33
2021-01-07 20:00:00+01:00;164;7-1-2021;1;7;1;3;20;1;25
2021-01-07 21:00:00+01:00;165;7-1-2021;1;7;1;3;21;1;17
2021-01-07 22:00:00+01:00;166;7-1-2021;1;7;1;3;22;1;8
2021-01-07 23:00:00+01:00;167;7-1-2021;1;7;1;3;23;1;0
2021-01-08 00:00:00+01:00;168;8-1-2021;1;8;1;4;0;1;0
2021-01-08 01:00:00+01:00;169;8-1-2021;1;8;1;4;1;1;0
2021-01-08 02:00:00+01:00;170;8-1-2021;1;8;1;4;2;1;0
2021-01-08 03:00:00+01:00;171;8-1-2021;1;8;1;4;3;1;0
2021-01-08 04:00:00+01:00;172;8-1-2021;1;8;1;4;4;1;0
2021-01-08 05:00:00+01:00;173;8-1-2021;1;8;1;4;5;1;0
2021-01-08 06:00:00+01:00;174;8-1-2021;1;8;1;4;6;1;0
2021-01-08 07:00:00+01:00;175;8-1-2021;1;8;1;4;7;1;0
2021-01-08 08:00:00+01:00;176;8-1-2021;1;8;1;4;8;1;60
2021-01-08 09:00:00+01:00;177;8-1-2021;1;8;1;4;9;1;60
2021-01-08 10:00:00+01:00;178;8-1-2021;1;8;1;4;10;1;90
2021-01-08 11:00:00+01:00;179;8-1-2021;1;8;1;4;11;1;90
2021-01-08 12:00:00+01:00;180;8-1-2021;1;8;1;4;12;1;50
2021-01-08 13:00:00+01:00;181;8-1-2021;1;8;1;4;13;1;50
2021-01-08 14:00:00+01:00;182;8-1-2021;1;8;1;4;14;1;80
2021-01-08 15:00:00+01:00;183;8-1-2021;1;8;1;4;15;1;80
2021-01-08 16:00:00+01:00;184;8-1-2021;1;8;1;4;16;1;80
2021-01-08 17:00:00+01:00;185;8-1-2021;1;8;1;4;17;1;50
2021-01-08 18:00:00+01:00;186;8-1-2021;1;8;1;4;18;1;42
2021-01-08 19:00:00+01:00;187;8-1-2021;1;8;1;4;19;1;33
2021-01-08 20:00:00+01:00;188;8-1-2021;1;8;1;4;20;1;25
2021-01-08 21:00:00+01:00;189;8-1-2021;1;8;1;4;21;1;17
2021-01-08 22:00:00+01:00;190;8-1-2021;1;8;1;4;22;1;8
2021-01-08 23:00:00+01:00;191;8-1-2021;1;8;1;4;23;1;0
2021-01-09 00:00:00+01:00;192;9-1-2021;1;9;1;5;0;2;0
2021-01-09 01:00:00+01:00;193;9-1-2021;1;9;1;5;1;2;0
2021-01-09 02:00:00+01:00;194;9-1-2021;1;9;1;5;2;2;0
2021-01-09 03:00:00+01:00;195;9-1-2021;1;9;1;5;3;2;0
2021-01-09 04:00:00+01:00;196;9-1-2021;1;9;1;5;4;2;0
2021-01-09 05:00:00+01:00;197;9-1-2021;1;9;1;5;5;2;0
2021-01-09 06:00:00+01:00;198;9-1-2021;1;9;1;5;6;2;0
2021-01-09 07:00:00+01:00;199;9-1-2021;1;9;1;5;7;2;0
2021-01-09 08:00:00+01:00;200;9-1-2021;1;9;1;5;8;2;0
2021-01-09 09:00:00+01:00;201;9-1-2021;1;9;1;5;9;2;0
2021-01-09 10:00:00+01:00;202;9-1-2021;1;9;1;5;10;2;50
2021-01-09 11:00:00+01:00;203;9-1-2021;1;9;1;5;11;2;50
2021-01-09 12:00:00+01:00;204;9-1-2021;1;9;1;5;12;2;30
2021-01-09 13:00:00+01:00;205;9-1-2021;1;9;1;5;13;2;30
2021-01-09 14:00:00+01:00;206;9-1-2021;1;9;1;5;14;2;50
2021-01-09 15:00:00+01:00;207;9-1-2021;1;9;1;5;15;2;50
2021-01-09 16:00:00+01:00;208;9-1-2021;1;9;1;5;16;2;50
2021-01-09 17:00:00+01:00;209;9-1-2021;1;9;1;5;17;2;0
2021-01-09 18:00:00+01:00;210;9-1-2021;1;9;1;5;18;2;0
2021-01-09 19:00:00+01:00;211;9-1-2021;1;9;1;5;19;2;0
2021-01-09 20:00:00+01:00;212;9-1-2021;1;9;1;5;20;2;0
2021-01-09 21:00:00+01:00;213;9-1-2021;1;9;1;5;21;2;0
2021-01-09 22:00:00+01:00;214;9-1-2021;1;9;1;5;22;2;0
2021-01-09 23:00:00+01:00;215;9-1-2021;1;9;1;5;23;2;0
2021-01-10 00:00:00+01:00;216;10-1-2021;1;10;1;6;0;3;0
2021-01-10 01:00:00+01:00;217;10-1-2021;1;10;1;6;1;3;0
2021-01-10 02:00:00+01:00;218;10-1-2021;1;10;1;6;2;3;0
2021-01-10 03:00:00+01:00;219;10-1-2021;1;10;1;6;3;3;0
2021-01-10 04:00:00+01:00;220;10-1-2021;1;10;1;6;4;3;0
2021-01-10 05:00:00+01:00;221;10-1-2021;1;10;1;6;5;3;0
2021-01-10 06:00:00+01:00;222;10-1-2021;1;10;1;6;6;3;0
2021-01-10 07:00:00+01:00;223;10-1-2021;1;10;1;6;7;3;0
2021-01-10 08:00:00+01:00;224;10-1-2021;1;10;1;6;8;3;0
2021-01-10 09:00:00+01:00;225;10-1-2021;1;10;1;6;9;3;0
2021-01-10 10:00:00+01:00;226;10-1-2021;1;10;1;6;10;3;0
2021-01-10 11:00:00+01:00;227;10-1-2021;1;10;1;6;11;3;0
2021-01-10 12:00:00+01:00;228;10-1-2021;1;10;1;6;12;3;0
2021-01-10 13:00:00+01:00;229;10-1-2021;1;10;1;6;13;3;0
2021-01-10 14:00:00+01:00;230;10-1-2021;1;10;1;6;14;3;0
2021-01-10 15:00:00+01:00;231;10-1-2021;1;10;1;6;15;3;0
2021-01-10 16:00:00+01:00;232;10-1-2021;1;10;1;6;16;3;0
2021-01-10 17:00:00+01:00;233;10-1-2021;1;10;1;6;17;3;0
2021-01-10 18:00:00+01:00;234;10-1-2021;1;10;1;6;18;3;0
2021-01-10 19:00:00+01:00;235;10-1-2021;1;10;1;6;19;3;0
2021-01-10 20:00:00+01:00;236;10-1-2021;1;10;1;6;20;3;0
2021-01-10 21:00:00+01:00;237;10-1-2021;1;10;1;6;21;3;0
2021-01-10 22:00:00+01:00;238;10-1-2021;1;10;1;6;22;3;0
2021-01-10 23:00:00+01:00;239;10-1-2021;1;10;1;6;23;3;0
2021-01-11 00:00:00+01:00;240;11-1-2021;1;11;2;0;0;1;0
2021-01-11 01:00:00+01:00;241;11-1-2021;1;11;2;0;1;1;0
2021-01-11 02:00:00+01:00;242;11-1-2021;1;11;2;0;2;1;0
2021-01-11 03:00:00+01:00;243;11-1-2021;1;11;2;0;3;1;0
2021-01-11 04:00:00+01:00;244;11-1-2021;1;11;2;0;4;1;0
2021-01-11 05:00:00+01:00;245;11-1-2021;1;11;2;0;5;1;0
2021-01-11 06:00:00+01:00;246;11-1-2021;1;11;2;0;6;1;0
2021-01-11 07:00:00+01:00;247;11-1-2021;1;11;2;0;7;1;0
2021-01-11 08:00:00+01:00;248;11-1-2021;1;11;2;0;8;1;60
2021-01-11 09:00:00+01:00;249;11-1-2021;1;11;2;0;9;1;60
2021-01-11 10:00:00+01:00;250;11-1-2021;1;11;2;0;10;1;90
2021-01-11 11:00:00+01:00;251;11-1-2021;1;11;2;0;11;1;90
2021-01-11 12:00:00+01:00;252;11-1-2021;1;11;2;0;12;1;50
2021-01-11 13:00:00+01:00;253;11-1-2021;1;11;2;0;13;1;50
2021-01-11 14:00:00+01:00;254;11-1-2021;1;11;2;0;14;1;80
2021-01-11 15:00:00+01:00;255;11-1-2021;1;11;2;0;15;1;80
2021-01-11 16:00:00+01:00;256;11-1-2021;1;11;2;0;16;1;80
2021-01-11 17:00:00+01:00;257;11-1-2021;1;11;2;0;17;1;50
2021-01-11 18:00:00+01:00;258;11-1-2021;1;11;2;0;18;1;42
2021-01-11 19:00:00+01:00;259;11-1-2021;1;11;2;0;19;1;33
2021-01-11 20:00:00+01:00;260;11-1-2021;1;11;2;0;20;1;25
2021-01-11 21:00:00+01:00;261;11-1-2021;1;11;2;0;21;1;17
2021-01-11 22:00:00+01:00;262;11-1-2021;1;11;2;0;22;1;8
2021-01-11 23:00:00+01:00;263;11-1-2021;1;11;2;0;23;1;0
2021-01-12 00:00:00+01:00;264;12-1-2021;1;12;2;1;0;1;0
2021-01-12 01:00:00+01:00;265;12-1-2021;1;12;2;1;1;1;0
2021-01-12 02:00:00+01:00;266;12-1-2021;1;12;2;1;2;1;0
2021-01-12 03:00:00+01:00;267;12-1-2021;1;12;2;1;3;1;0
2021-01-12 04:00:00+01:00;268;12-1-2021;1;12;2;1;4;1;0
2021-01-12 05:00:00+01:00;269;12-1-2021;1;12;2;1;5;1;0
2021-01-12 06:00:00+01:00;270;12-1-2021;1;12;2;1;6;1;0
2021-01-12 07:00:00+01:00;271;12-1-2021;1;12;2;1;7;1;0
2021-01-12 08:00:00+01:00;272;12-1-2021;1;12;2;1;8;1;60
2021-01-12 09:00:00+01:00;273;12-1-2021;1;12;2;1;9;1;60
2021-01-12 10:00:00+01:00;274;12-1-2021;1;12;2;1;10;1;90
2021-01-12 11:00:00+01:00;275;12-1-2021;1;12;2;1;11;1;90
2021-01-12 12:00:00+01:00;276;12-1-2021;1;12;2;1;12;1;50
2021-01-12 13:00:00+01:00;277;12-1-2021;1;12;2;1;13;1;50
2021-01-12 14:00:00+01:00;278;12-1-2021;1;12;2;1;14;1;80
2021-01-12 15:00:00+01:00;279;12-1-2021;1;12;2;1;15;1;80
2021-01-12 16:00:00+01:00;280;12-1-2021;1;12;2;1;16;1;80
2021-01-12 17:00:00+01:00;281;12-1-2021;1;12;2;1;17;1;50
2021-01-12 18:00:00+01:00;282;12-1-2021;1;12;2;1;18;1;42
2021-01-12 19:00:00+01:00;283;12-1-2021;1;12;2;1;19;1;33
2021-01-12 20:00:00+01:00;284;12-1-2021;1;12;2;1;20;1;25
2021-01-12 21:00:00+01:00;285;12-1-2021;1;12;2;1;21;1;17
2021-01-12 22:00:00+01:00;286;12-1-2021;1;12;2;1;22;1;8
2021-01-12 23:00:00+01:00;287;12-1-2021;1;12;2;1;23;1;0
2021-01-13 00:00:00+01:00;288;13-1-2021;1;13;2;2;0;1;0
2021-01-13 01:00:00+01:00;289;13-1-2021;1;13;2;2;1;1;0
2021-01-13 02:00:00+01:00;290;13-1-2021;1;13;2;2;2;1;0
2021-01-13 03:00:00+01:00;291;13-1-2021;1;13;2;2;3;1;0
2021-01-13 04:00:00+01:00;292;13-1-2021;1;13;2;2;4;1;0
2021-01-13 05:00:00+01:00;293;13-1-2021;1;13;2;2;5;1;0
2021-01-13 06:00:00+01:00;294;13-1-2021;1;13;2;2;6;1;0
2021-01-13 07:00:00+01:00;295;13-1-2021;1;13;2;2;7;1;0
2021-01-13 08:00:00+01:00;296;13-1-2021;1;13;2;2;8;1;60
2021-01-13 09:00:00+01:00;297;13-1-2021;1;13;2;2;9;1;60
2021-01-13 10:00:00+01:00;298;13-1-2021;1;13;2;2;10;1;90
2021-01-13 11:00:00+01:00;299;13-1-2021;1;13;2;2;11;1;90
2021-01-13 12:00:00+01:00;300;13-1-2021;1;13;2;2;12;1;50
2021-01-13 13:00:00+01:00;301;13-1-2021;1;13;2;2;13;1;50
2021-01-13 14:00:00+01:00;302;13-1-2021;1;13;2;2;14;1;80
2021-01-13 15:00:00+01:00;303;13-1-2021;1;13;2;2;15;1;80
2021-01-13 16:00:00+01:00;304;13-1-2021;1;13;2;2;16;1;80
2021-01-13 17:00:00+01:00;305;13-1-2021;1;13;2;2;17;1;50
2021-01-13 18:00:00+01:00;306;13-1-2021;1;13;2;2;18;1;42
2021-01-13 19:00:00+01:00;307;13-1-2021;1;13;2;2;19;1;33
2021-01-13 20:00:00+01:00;308;13-1-2021;1;13;2;2;20;1;25
2021-01-13 21:00:00+01:00;309;13-1-2021;1;13;2;2;21;1;17
2021-01-13 22:00:00+01:00;310;13-1-2021;1;13;2;2;22;1;8
2021-01-13 23:00:00+01:00;311;13-1-2021;1;13;2;2;23;1;0
2021-01-14 00:00:00+01:00;312;14-1-2021;1;14;2;3;0;1;0
2021-01-14 01:00:00+01:00;313;14-1-2021;1;14;2;3;1;1;0
2021-01-14 02:00:00+01:00;314;14-1-2021;1;14;2;3;2;1;0
2021-01-14 03:00:00+01:00;315;14-1-2021;1;14;2;3;3;1;0
2021-01-14 04:00:00+01:00;316;14-1-2021;1;14;2;3;4;1;0
2021-01-14 05:00:00+01:00;317;14-1-2021;1;14;2;3;5;1;0
2021-01-14 06:00:00+01:00;318;14-1-2021;1;14;2;3;6;1;0
2021-01-14 07:00:00+01:00;319;14-1-2021;1;14;2;3;7;1;0
2021-01-14 08:00:00+01:00;320;14-1-2021;1;14;2;3;8;1;60
2021-01-14 09:00:00+01:00;321;14-1-2021;1;14;2;3;9;1;60
2021-01-14 10:00:00+01:00;322;14-1-2021;1;14;2;3;10;1;90
2021-01-14 11:00:00+01:00;323;14-1-2021;1;14;2;3;11;1;90
2021-01-14 12:00:00+01:00;324;14-1-2021;1;14;2;3;12;1;50
2021-01-14 13:00:00+01:00;325;14-1-2021;1;14;2;3;13;1;50
2021-01-14 14:00:00+01:00;326;14-1-2021;1;14;2;3;14;1;80
2021-01-14 15:00:00+01:00;327;14-1-2021;1;14;2;3;15;1;80
2021-01-14 16:00:00+01:00;328;14-1-2021;1;14;2;3;16;1;80
2021-01-14 17:00:00+01:00;329;14-1-2021;1;14;2;3;17;1;50
2021-01-14 18:00:00+01:00;330;14-1-2021;1;14;2;3;18;1;42
2021-01-14 19:00:00+01:00;331;14-1-2021;1;14;2;3;19;1;33
2021-01-14 20:00:00+01:00;332;14-1-2021;1;14;2;3;20;1;25
2021-01-14 21:00:00+01:00;333;14-1-2021;1;14;2;3;21;1;17
2021-01-14 22:00:00+01:00;334;14-1-2021;1;14;2;3;22;1;8
2021-01-14 23:00:00+01:00;335;14-1-2021;1;14;2;3;23;1;0
2021-01-15 00:00:00+01:00;336;15-1-2021;1;15;2;4;0;1;0
2021-01-15 01:00:00+01:00;337;15-1-2021;1;15;2;4;1;1;0
2021-01-15 02:00:00+01:00;338;15-1-2021;1;15;2;4;2;1;0
2021-01-15 03:00:00+01:00;339;15-1-2021;1;15;2;4;3;1;0
2021-01-15 04:00:00+01:00;340;15-1-2021;1;15;2;4;4;1;0
2021-01-15 05:00:00+01:00;341;15-1-2021;1;15;2;4;5;1;0
2021-01-15 06:00:00+01:00;342;15-1-2021;1;15;2;4;6;1;0
2021-01-15 07:00:00+01:00;343;15-1-2021;1;15;2;4;7;1;0
2021-01-15 08:00:00+01:00;344;15-1-2021;1;15;2;4;8;1;60
2021-01-15 09:00:00+01:00;345;15-1-2021;1;15;2;4;9;1;60
2021-01-15 10:00:00+01:00;346;15-1-2021;1;15;2;4;10;1;90
